Gmt time,Open,High,Low,Close
10.02.2021 00:00:00.000,16.218,16.518,16.137,16.377
11.02.2021 00:00:00.000,16.267,16.457,16.202,16.417
12.02.2021 00:00:00.000,16.417,16.417,16.417,16.417
15.02.2021 00:00:00.000,16.417,16.417,16.417,16.417
16.02.2021 00:00:00.000,16.517,16.738,16.416,16.698
17.02.2021 00:00:00.000,16.597,17.258,16.508,17.127
18.02.2021 00:00:00.000,17.117,17.166,16.797,16.826
19.02.2021 00:00:00.000,16.807,17.003,16.597,16.958
22.02.2021 00:00:00.000,17.098,17.178,16.717,16.758
23.02.2021 00:00:00.000,16.738,17.138,16.738,16.918
24.02.2021 00:00:00.000,16.955,17.258,16.676,16.738
25.02.2021 00:00:00.000,16.797,17.068,16.497,16.841
26.02.2021 00:00:00.000,16.618,16.678,16.337,16.437